ASIN,Product Title,Parent ASIN,ISBN-13,EAN,UPC,Release Date,List Price,Binding,Author / Artist,SITB enabled?,Apparel Size,Apparel Size Width,Product Group,Replenishment Code,Model / Style Number,Color,Color Count,Prep Instructions Required,Brand Code,Brand,Manufacturer Code,Parent Manufacturer Code
1541540220,"You Do You: Figuring Out Your Body, Dating, and Sexuality",1541540220,9.78154E+12,9.78E+12,UNKNOWN,43774,37.32,library,"Mirk, Sarah",N,UNKNOWN,UNKNOWN,Books,NP,UNKNOWN,UNKNOWN,0,—,TWENR,Twenty-First Century Books,LERNE,LERNE
1541528131,Body 2.0: The Engineering Revolution in Medicine,1541528131,9.78154E+12,9.78E+12,UNKNOWN,43774,37.32,library,"Latta, Sara",N,UNKNOWN,UNKNOWN,Books,NP,UNKNOWN,UNKNOWN,0,—,TWENR,Twenty-First Century Books,LERNE,LERNE
1541555546,Gun Violence: Fighting for Our Lives and Our Rights,1541555546,9.78154E+12,9.78E+12,UNKNOWN,43739,37.32,library,"Doeden, Matt",N,UNKNOWN,UNKNOWN,Books,NP,UNKNOWN,UNKNOWN,0,—,TWENR,Twenty-First Century Books,LERNE,LERNE
1541532384,Giraffe Extinction: Using Science and Technology to Save the Gentle Giants,1541532384,9.78154E+12,9.78E+12,UNKNOWN,43739,37.32,library,"Anderson, Tanya",N,UNKNOWN,UNKNOWN,Books,NP,UNKNOWN,UNKNOWN,0,—,TWENR,Twenty-First Century Books,LERNE,LERNE
1541519787,"The Dozier School for Boys: Forensics, Survivors, and a Painful Past",1541519787,9.78154E+12,9.78E+12,UNKNOWN,43711,37.32,library,"Murray, Elizabeth A.",N,UNKNOWN,UNKNOWN,Books,NP,UNKNOWN,UNKNOWN,0,—,TWENR,Twenty-First Century Books,LERNE,LERNE
1541540212,Mindfulness and Meditation: Handling Life With a Calm and Focused Mind,1541540212,9.78154E+12,9.78E+12,UNKNOWN,43683,37.32,library,"Stewart, Whitney",N,UNKNOWN,UNKNOWN,Books,NP,UNKNOWN,UNKNOWN,0,—,TWENR,Twenty-First Century Books,LERNE,LERNE
1541528158,Vote!: Women's Fight for Access to the Ballot Box,1541528158,9.78154E+12,9.78E+12,UNKNOWN,43683,37.32,library,"Frazer, Coral Celeste",N,UNKNOWN,UNKNOWN,Books,NP,UNKNOWN,UNKNOWN,0,—,TWENR,Twenty-First Century Books,LERNE,LERNE
1541540204,No More Excuses: Dismantling Rape Culture,1541540204,9.78154E+12,9.78E+12,UNKNOWN,43466,37.32,library,"Keyser, Amber J.",N,UNKNOWN,UNKNOWN,Books,OB,UNKNOWN,UNKNOWN,0,—,TWENR,Twenty-First Century Books,LERNE,LERNE
1541539257,"Exposing Hate: Prejudice, Hatred, and Violence in Action",1541539257,9.78154E+12,9.78E+12,UNKNOWN,43466,37.32,library,"Miller, Michael",N,UNKNOWN,UNKNOWN,Books,OB,UNKNOWN,UNKNOWN,0,—,TWENR,Twenty-First Century Books,LERNE,LERNE
154152814X,Fake News: Separating Truth from Fiction,154152814X,9.78154E+12,9.78E+12,UNKNOWN,43466,37.32,library,"Miller, Michael",N,UNKNOWN,UNKNOWN,Books,OB,UNKNOWN,UNKNOWN,0,—,TWENR,Twenty-First Century Books,LERNE,LERNE
